,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro,Gols do artilheiro
0,1,Manchester City,38,28,7,3,96,34,62,91,239,80.5,35.6,44.9,118,53.012,Erling Haaland,Ederson,27
1,2,Arsenal,38,28,5,5,91,29,62,89,234,76.1,27.9,48.2,127,60.236,Bukayo Saka,David Raya,16
2,3,Liverpool,38,24,10,4,86,41,45,82,216,87.8,45.7,42.0,111,55.979,Mohamed Salah,Alisson,18
3,4,Aston Villa,38,20,8,10,76,61,15,68,179,63.3,59.9,3.4,9,41.858,Ollie Watkins,Emiliano Martínez,19
4,5,Tottenham,38,20,6,12,74,61,13,66,174,68.2,63.4,4.8,13,61.482,Son Heung-min,Guglielmo Vicario,17
5,6,Chelsea,38,18,9,11,77,63,14,63,166,74.5,58.1,16.4,43,39.524,Cole Palmer,Đorđe Petrović,22
6,7,Newcastle Utd,38,18,6,14,85,62,23,60,158,76.0,61.4,14.6,38,52.125,Alexander Isak,Martin Dúbravka,21
7,8,Manchester Utd,38,18,6,14,57,58,-1,60,158,56.5,68.9,-12.5,-33,73.533,"Rasmus Højlund, Bruno Fernandes",André Onana,10
8,9,West Ham,38,14,10,14,60,74,-14,52,137,52.3,71.1,-18.8,-49,62.567,Jarrod Bowen,Alphonse Areola,16
9,10,Crystal Palace,38,13,10,15,57,58,-1,49,129,48.6,52.0,-3.4,-9,24.932,Jean-Philippe Mateta,Sam Johnstone,16
10,11,Brighton,38,12,12,14,55,62,-7,48,126,56.8,55.4,1.4,4,32.638,João Pedro,Bart Verbruggen,9
11,12,Bournemouth,38,13,9,16,54,67,-13,48,126,55.9,58.1,-2.2,-6,11.103,Dominic Solanke,Neto,19
12,13,Fulham,38,13,8,17,55,61,-6,47,124,50.8,62.9,-12.1,-32,24.302,Rodrigo Muniz,Bernd Leno,9
13,14,Wolves,38,13,7,18,50,65,-15,46,121,46.7,67.7,-21.0,-55,31.029,"Hwang Hee-chan, Matheus Cunha",José Sá,12
14,15,Everton,38,13,9,16,40,51,-11,42,111,54.0,55.2,-1.2,-3,39.042,"Abdoulaye Doucouré, Dominic Calvert-Lewin",Jordan Pickford,7
15,16,Brentford,38,10,9,19,56,65,-9,39,103,58.2,56.0,2.2,6,17.082,Yoane Wissa,Mark Flekken,12
16,17,Nott'ham Forest,38,9,9,20,49,67,-18,32,84,49.9,53.2,-3.3,-9,29.386,Chris Wood,Matt Turner,14
17,18,Luton Town,38,6,8,24,52,85,-33,26,68,42.4,78.0,-35.5,-94,11.24,Carlton Morris,Thomas Kaminski,11
18,19,Burnley,38,5,9,24,41,78,-37,24,63,40.6,70.4,-29.7,-78,21.184,Jacob Bruun Larsen,James Trafford,6
19,20,Sheffield Utd,38,3,7,28,35,104,-69,16,42,38.3,76.7,-38.4,-101,30.011,"Oliver McBurnie, Ben Brereton",Wes Foderingham,6
