Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Gols,Gols,Gols,Gols,Gols,Esperado,Esperado,Esperado,Esperado,Lançados,Lançados,Lançados,Passes,Passes,Passes,Passes,Tiro de meta,Tiro de meta,Tiro de meta,Cruzamentos,Cruzamentos,Cruzamentos,Sweeper,Sweeper,Sweeper
Equipe,# J,90s,GC,GPC,TD,GC.1,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Tent. de passes (Gol.),Pas,Lançamentos%,CompMéd,Att,Lançamentos%,CompMéd,Oponente,Stp,Stp%,#OPA,#OPA/90,DistMéd
Atalanta,3,38.0,42,6,0,4,1,398,23,-12,-3,161,459,351,974,213,289,296,270,659,501,444,30,68,55,145,167.0
Bologna,3,38.0,32,3,2,3,1,321,23,11,3,118,348,339,941,159,265,296,285,347,332,505,13,26,19,50,122.0
Cagliari,3,38.0,68,4,3,10,3,562,34,-88,-23,202,544,371,838,137,421,640,312,612,459,583,28,48,24,63,
Empoli,3,38.0,54,6,0,10,1,489,22,-41,-11,162,542,299,1031,220,398,330,309,427,377,645,42,65,31,82,124.0
Fiorentina,3,38.0,46,8,3,5,0,462,26,2,1,191,458,417,1257,138,295,310,209,416,370,353,8,23,32,84,195.0
Frosinone,2,38.0,69,5,0,11,2,534,27,-136,-36,90,416,216,956,175,346,372,316,269,271,538,22,41,26,68,143.0
Genoa,3,38.0,45,3,1,4,1,416,28,-24,-6,245,634,386,1174,110,436,359,325,375,322,609,48,79,41,108,122.0
Hellas Verona,2,38.0,51,2,0,6,1,435,26,-65,-17,331,791,418,983,111,556,411,319,765,553,492,22,45,45,118,153.0
Inter,3,38.0,22,2,0,3,0,292,23,72,19,111,252,440,1196,151,169,261,249,201,258,453,24,53,16,42,121.0
Juventus,3,38.0,31,2,0,4,2,301,24,11,3,154,360,428,768,144,366,294,321,246,287,601,28,47,23,61,167.0
Lazio,2,38.0,39,2,0,3,0,383,24,-7,-2,139,366,380,985,132,295,377,301,249,281,476,21,44,23,61,131.0
Lecce,1,38.0,54,5,1,7,1,532,28,2,1,152,489,311,801,159,467,349,340,338,291,522,20,38,20,53,110.0
Milan,4,38.0,49,8,2,4,1,427,22,-53,-14,146,351,416,1248,233,229,269,273,238,269,440,43,98,46,121,154.0
Monza,2,38.0,51,7,1,6,0,598,27,88,23,197,486,405,1223,230,289,306,319,417,375,531,22,41,21,55,168.0
Napoli,3,38.0,48,2,1,6,0,461,33,-19,-5,83,242,343,955,149,199,170,226,230,279,417,14,34,41,108,370.0
Roma,2,38.0,46,3,0,5,3,436,26,6,2,134,327,410,945,163,251,253,289,311,297,517,32,62,15,39,120.0
Salernitana,3,38.0,81,10,0,9,2,681,29,-109,-29,183,647,283,858,127,497,449,345,641,466,631,15,24,31,82,76.0
Sassuolo,2,38.0,75,8,2,8,4,569,28,-141,-37,189,585,323,987,154,459,378,347,380,335,582,26,45,30,79,186.0
Torino,2,38.0,36,7,0,4,0,373,22,13,4,274,812,337,1370,179,442,311,273,758,599,431,41,95,40,105,120.0
Udinese,2,38.0,53,9,2,5,1,496,26,-24,-6,156,431,362,597,113,459,417,300,523,425,647,12,19,9,24,87.0
